Player,Pos,Age,Tm,TRB,AST,PTS
Chris Paul,PG,38,GSW,3.8,7.4,8.9
Cameron Payne,PG,29,MIL,1.2,2.4,6.2
Gary Payton II,SG,31,GSW,2.9,0.9,5.7
Drew Peterson,PF,24,BOS,0.0,1.0,3.0
Filip Petrušev,C,23,TOT,0.3,0.0,1.0
Filip Petrušev,C,23,PHI,1.0,0.0,0.0
Filip Petrušev,C,23,SAC,0.0,0.0,1.5
Julian Phillips,SF,20,CHI,0.5,0.3,0.6
Jalen Pickett,SG,24,DEN,0.7,0.7,2.1
Mason Plumlee,C,33,LAC,5.5,1.0,5.0
Brandin Podziemski,SG,20,GSW,5.5,3.2,9.1
Jakob Poeltl,C,28,TOR,8.3,2.4,10.5
Aleksej Pokusevski,PF,22,OKC,1.1,0.7,0.9
Jordan Poole,SG,24,WAS,2.5,3.7,17.2
Craig Porter Jr.,PG,23,CLE,2.7,3.3,7.5
Michael Porter Jr.,SF,25,DEN,7.5,1.5,16.3
Otto Porter Jr.,SF,30,TOR,1.9,0.5,2.6
Bobby Portis,PF,28,MIL,6.8,1.2,12.6
Kristaps Porziņģis,C,28,BOS,7.2,1.7,20.0
Micah Potter,PF,25,UTA,2.0,0.0,0.0
Dwight Powell,C,32,DAL,3.4,1.4,4.6
Norman Powell,SG,30,LAC,2.3,1.0,13.3
Joshua Primo,SG,21,LAC,0.0,0.0,2.0
Taurean Prince,PF,29,LAL,2.8,1.8,10.1
Payton Pritchard,PG,26,BOS,3.2,3.0,7.4
Olivier-Maxence Prosper,PF,21,DAL,2.0,0.7,2.8
Trevelin Queen,SG,26,ORL,0.0,0.0,0.0
Neemias Queta,C,24,BOS,5.3,0.6,5.3
Immanuel Quickley,SG-PG,24,TOT,2.7,2.5,15.0
Immanuel Quickley,SG,24,NYK,2.6,2.5,15.0
Immanuel Quickley,PG,24,TOR,6.0,3.0,14.0
Lester Quinones,SG,23,GSW,0.8,0.3,2.0
Julius Randle,PF,29,NYK,9.6,4.7,24.0
Duop Reath,C,27,POR,3.1,1.0,8.6
Austin Reaves,SG,25,LAL,4.4,4.9,15.1
Cam Reddish,SF,24,LAL,2.7,1.6,6.9
Paul Reed,C,24,PHI,4.5,1.3,5.5
Naz Reid,C,24,MIN,4.4,1.0,12.6
Jared Rhoden,SG,24,DET,0.8,0.6,2.6
Nick Richards,C,26,CHO,7.0,0.7,9.0
Josh Richardson,SG,30,MIA,2.7,3.0,10.0
Duncan Robinson,SF,29,MIA,2.8,3.1,14.6
Jerome Robinson,SG,26,GSW,0.5,0.0,0.8
Mitchell Robinson,C,25,NYK,10.3,0.7,6.2
Orlando Robinson,C,23,MIA,4.2,1.7,5.7
Jeremiah Robinson-Earl,PF,23,NOP,2.7,0.7,4.5
David Roddy,PF,22,MEM,3.9,1.3,8.0
Ryan Rollins,PG,21,WAS,1.1,1.1,4.1
Derrick Rose,PG,35,MEM,1.9,3.4,8.6
Terry Rozier,SG,29,CHO,3.9,7.2,23.6
Rayan Rupert,SG,19,POR,0.1,0.5,0.6
D'Angelo Russell,PG,27,LAL,2.9,6.1,14.8
Matt Ryan,SF,26,NOP,2.3,1.1,9.3
Domantas Sabonis,C,27,SAC,12.3,7.5,19.4
Luka Šamanić,PF,24,UTA,2.1,0.2,3.1
Jermaine Samuels,SF,25,HOU,1.3,0.3,2.0
Adama Sanogo,PF,21,CHI,0.0,0.0,0.0
Gui Santos,PF,21,GSW,2.0,0.3,3.3
Dario Šarić,C,29,GSW,5.8,2.1,10.5
Olivier Sarr,C,24,OKC,3.3,0.3,2.5
Marcus Sasser,PG,23,DET,1.6,2.3,7.4
Admiral Schofield,PF,26,ORL,0.6,0.2,0.8
Dennis Schröder,PG,30,TOR,2.7,7.0,14.5
Dereon Seabron,SG,23,NOP,1.4,0.8,2.8
Alperen Şengün,C,21,HOU,9.1,5.3,21.3
Brice Sensabaugh,SF,20,UTA,1.5,0.0,0.0
Collin Sexton,SG,25,UTA,2.8,3.7,15.6
Landry Shamet,SG,26,WAS,1.2,1.4,7.2
Day'Ron Sharpe,C,22,BRK,6.9,1.4,7.2
Shaedon Sharpe,SG,20,POR,5.2,3.2,16.4
Ben Sheppard,SG,22,IND,0.6,0.6,3.2
Pascal Siakam,PF,29,TOR,6.5,5.0,22.4
Ben Simmons,PG,27,BRK,10.8,6.7,6.5
Anfernee Simons,SG,24,POR,3.1,5.3,27.1
Jericho Sims,C,25,NYK,1.7,0.2,1.6
Dmytro Skapintsev,C,25,NYK,0.0,0.0,0.0
Jalen Slawson,SF,24,SAC,0.8,0.4,0.8
Javonte Smart,PG,24,PHI,0.0,0.0,0.0
Marcus Smart,PG,29,MEM,2.3,4.5,13.4
Dennis Smith Jr.,PG,26,BRK,3.0,3.7,6.9
Dru Smith,SG,26,MIA,1.6,1.6,4.3
Ish Smith,PG,35,CHO,1.6,3.2,3.8
Jabari Smith Jr.,PF,20,HOU,8.5,1.5,13.5
Jalen Smith,C,23,IND,5.2,0.9,10.2
Nick Smith Jr.,SG,19,CHO,1.1,0.8,6.2
Jeremy Sochan,PF,20,SAS,5.6,4.1,10.8
Jaden Springer,SG,21,PHI,1.4,0.9,3.2
Lamar Stevens,PF,26,BOS,1.2,0.5,2.4
Isaiah Stewart,PF,22,DET,7.0,1.7,10.4
Julian Strawther,SF,21,DEN,1.5,1.1,6.1
Max Strus,SF,27,CLE,5.1,3.9,13.8
Jalen Suggs,SG,22,ORL,3.4,2.5,12.6
Cole Swider,SF,24,MIA,0.4,0.6,4.2
Jae'Sean Tate,SF,28,HOU,3.5,1.0,5.2
Jayson Tatum,PF,25,BOS,8.4,4.4,26.9
Terry Taylor,PF,24,CHI,0.9,0.2,1.5
Garrett Temple,SG,37,TOR,0.3,0.5,1.8
Dalen Terry,SG,21,CHI,1.5,0.9,1.9
Daniel Theis,C,31,TOT,3.4,0.7,7.0
Daniel Theis,C,31,IND,0.0,0.0,2.0
Daniel Theis,C,31,LAC,3.5,0.8,7.3
Cam Thomas,SG,22,BRK,2.6,2.3,22.4
Amen Thompson,SF,21,HOU,3.3,1.8,5.2
Ausar Thompson,SF,21,DET,7.1,2.2,9.1
Klay Thompson,SF,33,GSW,3.7,2.1,16.7
Tristan Thompson,PF,32,CLE,3.6,0.9,3.3
JT Thor,PF,21,CHO,2.4,0.4,3.1
Matisse Thybulle,SF,26,POR,2.2,1.1,5.9
Xavier Tillman Sr.,C,25,MEM,4.6,1.5,5.8
Jacob Toppin,SF,23,NYK,0.0,0.3,0.0
Obi Toppin,PF,25,IND,3.9,1.3,11.5
Juan Toscano-Anderson,SF,30,SAC,0.8,0.5,0.3
Karl-Anthony Towns,PF,28,MIN,9.2,2.9,21.4
Gary Trent Jr.,SG,25,TOR,2.4,1.7,11.5
Oscar Tshiebwe,PF,24,IND,1.7,0.7,3.7
